product_id,name,category,units_in_stock,price,rating_avg,return_rate
CLO-00001,Levi's Denim Jeans,clothing,996,1285.65,3.5,18.0
GRO-00002,Hershey's Chocolate,grocery,249,1433.15,1.1,11.6
COS-00003,Revlon Compact Powder,cosmetics,15,1323.19,4.0,4.1
CLO-00004,Zara Summer Dress,clothing,889,1220.5,2.6,13.9
ELE-00005,Samsung Smart TV,electronics,224,1851.87,3.1,18.7
GRO-00006,Hershey's Chocolate,grocery,477,127.43,2.7,18.4
ELE-00007,Samsung Smart TV,electronics,365,129.59,3.1,3.7
CLO-00008,Zara Summer Dress,clothing,19,641.71,3.4,16.5
CLO-00009,Levi's Denim Jeans,clothing,886,1618.52,3.9,6.0
CLO-00010,Puma Hoodie,clothing,588,1059.81,5.0,18.4
CLO-00011,Nike Sportswear,clothing,540,462.16,2.8,4.6
COS-00012,Revlon Compact Powder,cosmetics,393,1366.65,3.3,3.4
CLO-00013,Puma Hoodie,clothing,10,54.12,1.7,15.7
FUR-00014,Ikea Study Table,furniture,772,344.47,4.4,5.6
FUR-00015,Durian Office Desk,furniture,646,340.66,2.7,1.4
COS-00016,Revlon Compact Powder,cosmetics,551,1371.7,4.5,5.1
FUR-00017,Nilkamal Chair,furniture,874,826.99,4.4,3.0
GRO-00018,Kellogg's Corn Flakes,grocery,620,540.22,4.2,5.2
GRO-00019,Kellogg's Corn Flakes,grocery,476,894.61,4.3,19.3
CLO-00020,Zara Summer Dress,clothing,284,1556.2,3.6,19.2
HOM-00021,Philips LED Bulb,home,303,1617.57,2.0,9.6
GRO-00022,Kellogg's Corn Flakes,grocery,405,248.21,4.1,19.5
APP-00023,Havells Geyser,appliances,207,1485.38,2.6,10.4
COS-00024,Lakme Foundation,cosmetics,239,1884.5,2.2,11.3
CLO-00025,H&M Cotton Shirt,clothing,88,1779.59,3.2,8.8
CLO-00026,Puma Hoodie,clothing,737,856.57,2.5,12.4
GRO-00027,Hershey's Chocolate,grocery,822,854.82,4.5,6.7
CLO-00028,Puma Hoodie,clothing,711,749.46,2.5,13.9
APP-00029,Bajaj Mixer Grinder,appliances,824,206.73,4.8,13.1
CLO-00030,Puma Hoodie,clothing,60,1740.88,4.7,5.6
HOM-00031,Philips LED Bulb,home,904,909.31,4.3,8.6
