sku_id,wishlist,cart,avg_rating,units_sold,returns,in_stock
CLO-00001,178,398,3.5,2622,2809,996
GRO-00002,78,367,1.1,2057,88,249
ELE-00005,47,198,3.1,2528,2607,224
ELE-00007,195,471,3.1,99,51,365
CLO-00008,946,342,3.4,2461,2756,19
COS-00012,735,82,3.3,90,1483,393
FUR-00014,465,99,4.4,1990,1132,772
GRO-00018,416,59,4.2,85,2895,620
COS-00024,896,197,2.2,16,95,239
HOM-00031,457,469,4.3,1627,1858,904
COS-00034,632,308,2.1,2990,7,527
GRO-00035,362,120,3.7,1353,1839,875
CLO-00039,196,34,2.1,1855,45,922
HOM-00041,758,247,1.4,2406,54,16
COS-00044,356,279,2.4,2886,2377,627
FUR-00047,931,124,1.9,1635,27,252
FUR-00048,861,492,5.0,49,1419,277
GRO-00050,889,46,1.4,2034,2420,477
FUR-00053,640,76,1.8,1720,94,660
CLO-00054,220,74,3.8,20,2200,983
COS-00062,681,499,1.3,1657,31,585
COS-00063,27,283,1.7,1921,6,937
ELE-00070,955,152,3.1,1635,2364,55
CLO-00071,311,249,3.0,58,5,411
APP-00072,618,258,4.4,2698,2439,7
COS-00076,917,499,4.0,72,68,807
SKI-00081,782,231,5.0,38,1971,361
FUR-00082,650,148,3.0,73,1231,995
SKI-00084,216,337,2.2,60,1083,199
FUR-00086,909,371,4.0,41,2671,84
APP-00087,27,344,2.2,2469,5,40
SKI-00089,271,60,2.0,68,99,533
COS-00090,315,427,2.9,64,2591,360
SKI-00091,493,231,4.9,21,90,393
GRO-00093,428,292,4.4,1547,1802,29
COS-00097,384,262,2.1,11,1684,305
COS-00099,891,229,3.6,1650,2851,213
FUR-00100,609,348,1.5,14,1051,555
CLO-00104,81,247,1.2,28,2550,672
HOM-00105,337,326,3.8,37,2999,299
CLO-00108,390,166,1.2,2774,82,935
SKI-00109,171,449,4.4,5,70,225
SKI-00110,772,149,3.8,1734,2610,8
APP-00111,262,88,2.8,81,2202,15
FUR-00114,280,401,2.1,1960,60,136
CLO-00117,691,457,2.9,2579,1378,799
FUR-00120,225,449,2.5,79,1024,523
GRO-00121,221,71,2.2,15,22,877
HOM-00122,795,238,1.1,2198,1404,985
ELE-00123,900,132,4.9,59,54,329
CLO-00128,817,178,1.0,23,2795,494
GRO-00129,794,296,3.0,2390,55,383
FUR-00131,476,165,2.0,2320,1117,17
SKI-00134,982,212,4.3,1487,1553,412
COS-00135,225,280,1.8,20,17,760
CLO-00138,330,310,3.0,2704,10,916
APP-00140,223,401,3.1,63,2137,57
COS-00145,670,17,1.3,2368,2956,869
HOM-00148,716,401,2.3,2609,98,21
COS-00151,103,192,3.3,8,1444,566
SKI-00153,375,260,3.7,1615,56,908
ELE-00158,379,3,1.6,2231,1950,374
CLO-00159,317,170,2.7,1938,2725,791
HOM-00166,557,375,2.5,7,1794,873
COS-00168,765,420,2.9,1781,2505,435
CLO-00172,507,204,3.5,2083,1571,178
ELE-00173,333,198,2.9,2754,94,587
SKI-00174,69,399,2.5,2766,98,249
HOM-00177,118,114,3.2,1744,29,319
ELE-00181,421,436,2.7,1435,1247,455
FUR-00182,116,353,2.4,41,45,744
COS-00183,177,202,1.3,9,2687,583
APP-00187,535,435,4.3,2775,2758,948
ELE-00188,8,121,2.5,85,2085,516
HOM-00195,424,40,2.1,8,90,336
COS-00196,295,152,3.0,2235,71,807
APP-00197,920,238,4.9,5,1520,878
GRO-00199,110,442,4.3,7,99,814
FUR-00200,233,478,2.9,78,1528,384
COS-00201,429,352,4.3,15,1348,258
GRO-00205,263,176,1.4,2751,59,871
GRO-00211,37,1,4.5,59,16,591
APP-00213,275,444,4.4,1192,1931,711
APP-00215,178,464,4.7,48,1026,571
HOM-00217,51,46,3.0,43,30,274
CLO-00218,172,298,4.6,1592,88,891
CLO-00220,469,99,2.5,1071,11,431
FUR-00223,596,180,1.3,1483,98,878
FUR-00226,708,420,1.4,2157,66,804
APP-00227,280,342,2.4,60,1780,51
GRO-00232,49,325,3.9,1410,2706,356
HOM-00234,110,457,2.4,78,1802,344
APP-00240,431,405,3.8,88,14,612
APP-00242,241,284,2.7,8,47,916
CLO-00243,124,159,2.4,90,42,230
SKI-00244,326,499,1.6,2721,1135,954
HOM-00249,353,86,1.4,16,7,490
HOM-00251,396,415,3.1,2343,62,155
ELE-00252,534,122,2.1,13,2766,258
APP-00253,956,316,1.3,1396,2730,110
SKI-00262,211,436,3.8,1117,2420,185
APP-00263,809,285,1.2,2224,2980,776
ELE-00264,178,339,3.5,1398,38,553
HOM-00265,687,499,1.0,23,65,698
APP-00267,944,492,2.5,2826,6,671
COS-00268,952,232,2.8,95,88,859
GRO-00269,713,90,3.9,1490,2299,339
APP-00273,660,442,4.7,27,88,991
SKI-00274,312,318,3.1,41,2476,808
COS-00275,250,212,1.2,49,2150,402
GRO-00278,743,358,2.0,1762,40,480
SKI-00279,56,372,2.7,74,75,839
SKI-00280,141,31,1.8,89,12,906
ELE-00281,787,25,1.7,1368,2755,99
ELE-00284,356,377,2.6,2852,82,435
ELE-00286,190,306,2.9,2085,1924,60
GRO-00290,683,85,3.7,25,2317,56
GRO-00293,204,380,3.2,1091,2459,21
HOM-00294,936,494,2.0,62,62,962
APP-00298,841,128,4.3,1885,2371,726
FUR-00299,212,107,3.8,37,1740,274
CLO-00305,589,278,1.6,95,2833,56
HOM-00309,645,318,2.4,58,2879,147
HOM-00310,666,78,4.1,38,1446,662
GRO-00311,210,486,3.2,1203,1741,149
COS-00312,374,273,1.7,1875,2595,399
APP-00313,283,29,4.5,2813,1828,163
COS-00314,834,0,1.3,20,1005,860
APP-00315,309,283,2.0,29,92,298
SKI-00317,601,442,5.0,5,54,738
APP-00318,782,275,2.7,1566,2729,457
FUR-00322,207,69,4.8,93,77,727
HOM-00323,825,189,4.2,1766,82,396
FUR-00324,526,18,4.5,73,88,163
CLO-00325,436,235,4.8,2342,1685,235
FUR-00327,854,285,2.2,29,1192,717
COS-00331,638,306,2.2,55,2668,170
HOM-00333,358,54,2.8,55,2300,840
ELE-00335,107,441,4.1,1894,2867,681
APP-00342,755,317,3.4,9,66,677
HOM-00343,202,54,1.6,2885,37,496
CLO-00344,923,246,1.5,83,1069,853
GRO-00345,241,348,4.8,5,1029,216
ELE-00346,262,234,3.6,96,10,947
APP-00347,634,366,2.1,2802,27,437
COS-00352,709,389,1.4,2642,6,491
APP-00354,470,201,3.0,84,2067,29
COS-00355,921,339,1.7,1732,46,560
ELE-00356,906,450,2.8,26,1140,254
CLO-00362,755,178,1.3,73,2994,638
GRO-00370,141,222,4.0,2485,1889,123
GRO-00374,665,56,1.4,1955,16,222
COS-00375,991,142,4.4,1569,28,675
GRO-00377,690,448,4.8,1102,63,932
ELE-00378,640,499,2.0,2677,2119,628
HOM-00379,738,351,2.8,1160,1275,935
CLO-00380,317,246,2.0,2890,1747,815
COS-00381,108,329,2.2,1257,21,911
CLO-00383,131,422,3.2,1091,32,999
CLO-00384,497,69,2.9,1387,2309,854
COS-00386,381,76,1.8,33,72,908
HOM-00388,878,280,2.8,2263,1926,56
ELE-00389,81,323,4.2,2006,91,755
COS-00397,210,263,3.2,2699,59,689
SKI-00398,910,30,3.9,1849,2842,12
SKI-00399,854,139,4.0,75,2411,369
COS-00400,277,418,4.9,84,79,543
ELE-00404,395,247,4.6,44,8,636
APP-00408,328,389,4.3,2203,1366,842
GRO-00409,222,390,2.3,1854,78,667
COS-00410,359,66,2.7,14,78,992
HOM-00417,575,375,4.9,76,52,809
CLO-00419,771,332,2.3,28,1311,485
HOM-00420,113,201,3.0,49,1642,894
GRO-00424,251,277,1.1,1829,2790,105
FUR-00427,307,387,2.6,79,60,385
SKI-00429,671,9,4.9,24,1154,778
COS-00430,168,250,2.0,1127,2256,68
COS-00431,36,292,4.4,1580,41,440
FUR-00432,689,10,4.9,13,33,36
APP-00437,200,285,2.5,1952,1675,139
HOM-00438,995,280,2.7,1338,2217,628
CLO-00439,753,405,1.3,2237,35,922
FUR-00442,544,189,3.7,2932,2328,29
APP-00445,242,343,1.6,66,1862,499
APP-00448,141,39,4.5,1398,37,723
