sku_id,wishlist,cart,avg_rating,units_sold,returns,in_stock,label_action
CLO-00001,178,398,3.5,2622,2809,996,DISCOUNT
GRO-00002,78,367,1.1,2057,88,249,RESTOCK
ELE-00005,47,198,3.1,2528,2607,224,DISCOUNT
ELE-00007,195,471,3.1,99,51,365,NO CHANGE
CLO-00008,946,342,3.4,2461,2756,19,DISCOUNT
COS-00012,735,82,3.3,90,1483,393,DISCOUNT
FUR-00014,465,99,4.4,1990,1132,772,DISCOUNT
GRO-00018,416,59,4.2,85,2895,620,DISCOUNT
COS-00024,896,197,2.2,16,95,239,RESTOCK
HOM-00031,457,469,4.3,1627,1858,904,DISCOUNT
COS-00034,632,308,2.1,2990,7,527,RESTOCK
GRO-00035,362,120,3.7,1353,1839,875,DISCOUNT
CLO-00039,196,34,2.1,1855,45,922,NO CHANGE
HOM-00041,758,247,1.4,2406,54,16,RESTOCK
COS-00044,356,279,2.4,2886,2377,627,DISCOUNT
FUR-00047,931,124,1.9,1635,27,252,RESTOCK
FUR-00048,861,492,5.0,49,1419,277,DISCOUNT
GRO-00050,889,46,1.4,2034,2420,477,DISCOUNT
FUR-00053,640,76,1.8,1720,94,660,NO CHANGE
CLO-00054,220,74,3.8,20,2200,983,DISCOUNT
COS-00062,681,499,1.3,1657,31,585,RESTOCK
COS-00063,27,283,1.7,1921,6,937,NO CHANGE
ELE-00070,955,152,3.1,1635,2364,55,DISCOUNT
CLO-00071,311,249,3.0,58,5,411,DISCOUNT
APP-00072,618,258,4.4,2698,2439,7,DISCOUNT
COS-00076,917,499,4.0,72,68,807,DISCOUNT
SKI-00081,782,231,5.0,38,1971,361,DISCOUNT
FUR-00082,650,148,3.0,73,1231,995,DISCOUNT
SKI-00084,216,337,2.2,60,1083,199,DISCOUNT
FUR-00086,909,371,4.0,41,2671,84,DISCOUNT
APP-00087,27,344,2.2,2469,5,40,RESTOCK
SKI-00089,271,60,2.0,68,99,533,DISCOUNT
COS-00090,315,427,2.9,64,2591,360,DISCOUNT
SKI-00091,493,231,4.9,21,90,393,DISCOUNT
GRO-00093,428,292,4.4,1547,1802,29,DISCOUNT
COS-00097,384,262,2.1,11,1684,305,DISCOUNT
COS-00099,891,229,3.6,1650,2851,213,DISCOUNT
FUR-00100,609,348,1.5,14,1051,555,DISCOUNT
CLO-00104,81,247,1.2,28,2550,672,DISCOUNT
HOM-00105,337,326,3.8,37,2999,299,DISCOUNT
CLO-00108,390,166,1.2,2774,82,935,NO CHANGE
SKI-00109,171,449,4.4,5,70,225,NO CHANGE
SKI-00110,772,149,3.8,1734,2610,8,DISCOUNT
APP-00111,262,88,2.8,81,2202,15,DISCOUNT
FUR-00114,280,401,2.1,1960,60,136,RESTOCK
CLO-00117,691,457,2.9,2579,1378,799,DISCOUNT
FUR-00120,225,449,2.5,79,1024,523,DISCOUNT
GRO-00121,221,71,2.2,15,22,877,DISCOUNT
HOM-00122,795,238,1.1,2198,1404,985,DISCOUNT
ELE-00123,900,132,4.9,59,54,329,NO CHANGE
CLO-00128,817,178,1.0,23,2795,494,DISCOUNT
GRO-00129,794,296,3.0,2390,55,383,RESTOCK
FUR-00131,476,165,2.0,2320,1117,17,RESTOCK
SKI-00134,982,212,4.3,1487,1553,412,DISCOUNT
COS-00135,225,280,1.8,20,17,760,DISCOUNT
CLO-00138,330,310,3.0,2704,10,916,RESTOCK
APP-00140,223,401,3.1,63,2137,57,DISCOUNT
COS-00145,670,17,1.3,2368,2956,869,DISCOUNT
HOM-00148,716,401,2.3,2609,98,21,RESTOCK
COS-00151,103,192,3.3,8,1444,566,DISCOUNT
SKI-00153,375,260,3.7,1615,56,908,NO CHANGE
ELE-00158,379,3,1.6,2231,1950,374,DISCOUNT
CLO-00159,317,170,2.7,1938,2725,791,DISCOUNT
HOM-00166,557,375,2.5,7,1794,873,DISCOUNT
COS-00168,765,420,2.9,1781,2505,435,DISCOUNT
CLO-00172,507,204,3.5,2083,1571,178,DISCOUNT
ELE-00173,333,198,2.9,2754,94,587,RESTOCK
SKI-00174,69,399,2.5,2766,98,249,RESTOCK
HOM-00177,118,114,3.2,1744,29,319,RESTOCK
ELE-00181,421,436,2.7,1435,1247,455,DISCOUNT
FUR-00182,116,353,2.4,41,45,744,DISCOUNT
COS-00183,177,202,1.3,9,2687,583,DISCOUNT
APP-00187,535,435,4.3,2775,2758,948,DISCOUNT
ELE-00188,8,121,2.5,85,2085,516,DISCOUNT
HOM-00195,424,40,2.1,8,90,336,DISCOUNT
COS-00196,295,152,3.0,2235,71,807,NO CHANGE
APP-00197,920,238,4.9,5,1520,878,DISCOUNT
GRO-00199,110,442,4.3,7,99,814,DISCOUNT
FUR-00200,233,478,2.9,78,1528,384,DISCOUNT
COS-00201,429,352,4.3,15,1348,258,DISCOUNT
GRO-00205,263,176,1.4,2751,59,871,RESTOCK
