sku_id,wishlist,cart,avg_rating,units_sold,returns,in_stock,label_action
CLO-00001,178,398,3.5,20,2,996,ORDER STOCK
GRO-00002,78,367,1.1,20,2,249,DISCOUNT
ELE-00005,47,198,3.1,20,2,224,ORDER STOCK
ELE-00007,195,471,3.1,20,2,365,DISCOUNT
CLO-00008,946,342,3.4,20,2,19,DISCOUNT
COS-00012,735,82,3.3,20,2,393,NO CHANGE
FUR-00014,465,99,4.4,20,2,772,ORDER STOCK
GRO-00018,416,59,4.2,20,2,620,ORDER STOCK
COS-00024,896,197,2.2,20,2,239,NO CHANGE
HOM-00031,457,469,4.3,20,2,904,DISCOUNT
COS-00034,632,308,2.1,20,2,527,DISCOUNT
GRO-00035,362,120,3.7,20,2,875,NO CHANGE
CLO-00039,196,34,2.1,20,2,922,DISCOUNT
HOM-00041,758,247,1.4,20,2,16,NO CHANGE
COS-00044,356,279,2.4,20,2,627,NO CHANGE
FUR-00047,931,124,1.9,20,2,252,ORDER STOCK
FUR-00048,861,492,5.0,20,2,277,NO CHANGE
GRO-00050,889,46,1.4,20,2,477,NO CHANGE
FUR-00053,640,76,1.8,20,2,660,ORDER STOCK
CLO-00054,220,74,3.8,20,2,983,NO CHANGE
COS-00062,681,499,1.3,20,2,585,DISCOUNT
COS-00063,27,283,1.7,20,2,937,ORDER STOCK
ELE-00070,955,152,3.1,20,2,55,ORDER STOCK
CLO-00071,311,249,3.0,20,2,411,DISCOUNT
APP-00072,618,258,4.4,20,2,7,ORDER STOCK
COS-00076,917,499,4.0,20,2,807,ORDER STOCK
SKI-00081,782,231,5.0,20,2,361,DISCOUNT
FUR-00082,650,148,3.0,20,2,995,DISCOUNT
SKI-00084,216,337,2.2,20,2,199,DISCOUNT
FUR-00086,909,371,4.0,20,2,84,ORDER STOCK
APP-00087,27,344,2.2,20,2,40,NO CHANGE
SKI-00089,271,60,2.0,20,2,533,DISCOUNT
COS-00090,315,427,2.9,20,2,360,DISCOUNT
SKI-00091,493,231,4.9,20,2,393,DISCOUNT
GRO-00093,428,292,4.4,20,2,29,DISCOUNT
COS-00097,384,262,2.1,20,2,305,NO CHANGE
COS-00099,891,229,3.6,20,2,213,DISCOUNT
FUR-00100,609,348,1.5,20,2,555,NO CHANGE
CLO-00104,81,247,1.2,20,2,672,NO CHANGE
HOM-00105,337,326,3.8,20,2,299,DISCOUNT
CLO-00108,390,166,1.2,20,2,935,DISCOUNT
SKI-00109,171,449,4.4,20,2,225,NO CHANGE
SKI-00110,772,149,3.8,20,2,8,DISCOUNT
APP-00111,262,88,2.8,20,2,15,DISCOUNT
FUR-00114,280,401,2.1,20,2,136,ORDER STOCK
CLO-00117,691,457,2.9,20,2,799,DISCOUNT
FUR-00120,225,449,2.5,20,2,523,ORDER STOCK
GRO-00121,221,71,2.2,20,2,877,ORDER STOCK
HOM-00122,795,238,1.1,20,2,985,DISCOUNT
ELE-00123,900,132,4.9,20,2,329,NO CHANGE
CLO-00128,817,178,1.0,20,2,494,ORDER STOCK
GRO-00129,794,296,3.0,20,2,383,DISCOUNT
FUR-00131,476,165,2.0,20,2,17,NO CHANGE
SKI-00134,982,212,4.3,20,2,412,ORDER STOCK
COS-00135,225,280,1.8,20,2,760,DISCOUNT
CLO-00138,330,310,3.0,20,2,916,NO CHANGE
APP-00140,223,401,3.1,20,2,57,NO CHANGE
COS-00145,670,17,1.3,20,2,869,NO CHANGE
HOM-00148,716,401,2.3,20,2,21,ORDER STOCK
COS-00151,103,192,3.3,20,2,566,DISCOUNT
SKI-00153,375,260,3.7,20,2,908,ORDER STOCK
ELE-00158,379,3,1.6,20,2,374,ORDER STOCK
CLO-00159,317,170,2.7,20,2,791,ORDER STOCK
